Item name,Category,Size/Quantity,Price,ImageURL,Image URL
AVELIA HAIR REMOVAL 50GM CREAM,SELF CARE,PACKS,145,https://source.unsplash.com/200x200/?AVELIA+HAIR+REMOVAL+50GM+CREAM,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAQjBbxGLTffVCA-dLWyCGAbVYsy6qNMkLceUymHHyuoDkxMBT1VhGgxYxq0M&s
AVELIA LIME 4X125GM SOAP,SELF CARE,PACKS,200,https://source.unsplash.com/200x200/?AVELIA+LIME+4X125GM+SOAP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRvxV9Wdu1faO6Li5ZQN32knqGhHgRd9Nwdeq_z2J71OJqcL_UMjXnITNB2mlw&s
AVELIA REFRESHING BODY WASH 250ML,SELF CARE,BOTTLES,180,https://source.unsplash.com/200x200/?AVELIA+REFRESHING+BODY+WASH+250ML,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ9YLg_N6W8jZKPqHtXTbrzTRKHVMsSXZfrB58PsX0peOHd34liwh2a0i33Lg&s
Backpack,STATIONARY,NUMBERS,450,https://source.unsplash.com/200x200/?Backpack,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSGMcRdAzmayXe8-HiNxKR2gn1zL8pNDsDZvv0Sa-PGZWRjN8TTXg9_3epeKQ&s
Band aid 2rs,SELF CARE,NUMBERS,3,https://source.unsplash.com/200x200/?Band+aid+2rs,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWHJoHhyoLppECxAt0WATO24mQ_n2w5QU03j1rZladrxAbKjbYfF-IuipDww&s
Basil seeds 100g,DRY FRUITS,GRAMMES,70,https://source.unsplash.com/200x200/?Basil+seeds+100g,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUu7gRoCGiXgitT-n0pnSZGM6Wnw4gvKdav5ij_YlpwvTw9wCwY30XEfP0jA&s
Bath scrub,SELF CARE,NUMBERS,30,https://source.unsplash.com/200x200/?Bath+scrub,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFY0rQgAKLfnwUK1NCg6F1E8YcDmyjeolHW803TtdDrCuKWgaI9dn-ayODmNs&s
Bath towel (Turkey),TOILETRIES,,320,https://source.unsplash.com/200x200/?Bath+towel+(Turkey),https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbKWCd3GYO2t-LwkkfcMulBB1Y51a4JrVluBQVRGnjLQDfgsAh6yt95-qtog&s
BAULI CHOCO MRP 25,CHOCOLATE,PACKS,25,https://source.unsplash.com/200x200/?BAULI+CHOCO+MRP+25,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQud4jrf2pVortGyHAzSJn80H4-ecOtK2Zb-I7jhhJLvmCd-J2gekDgD-or34&s
BAULI STR MRP 25,CHOCOLATE,PACKS,25,https://source.unsplash.com/200x200/?BAULI+STR+MRP+25,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcWpPbKlj5BzXyjik8V6hw8fw6RYqDqJ4JuGPgfjuNH5pxM0B71wpf-tnEgw&s
